,timestamp,open,close,high,low
0,1707229740.0,173.803,173.698,173.806,173.698
1,1707229800.0,173.702,173.618,173.719,173.607
2,1707229860.0,173.614,173.519,173.628,173.452
3,1707229920.0,173.53,173.459,173.548,173.459
4,1707229980.0,173.459,173.334,173.519,173.334
5,1707230040.0,173.347,173.521,173.532,173.347
6,1707230100.0,173.524,173.543,173.597,173.524
7,1707230160.0,173.543,173.49,173.623,173.48
8,1707230220.0,173.49,173.456,173.495,173.399
9,1707230280.0,173.453,173.431,173.535,173.428
10,1707230340.0,173.422,173.381,173.436,173.339
11,1707230400.0,173.372,173.468,173.49,173.36
12,1707230460.0,173.478,173.381,173.497,173.381
13,1707230520.0,173.378,173.455,173.469,173.362
14,1707230580.0,173.451,173.476,173.546,173.414
15,1707230640.0,173.472,173.547,173.557,173.434
16,1707230700.0,173.542,173.488,173.587,173.488
17,1707230760.0,173.491,173.54,173.54,173.443
18,1707230820.0,173.552,173.428,173.603,173.39
19,1707230880.0,173.425,173.392,173.448,173.337
20,1707230940.0,173.396,173.363,173.396,173.32
21,1707231000.0,173.363,173.49,173.49,173.357
22,1707231060.0,173.49,173.404,173.49,173.404
23,1707231120.0,173.399,173.432,173.461,173.385
24,1707231180.0,173.427,173.492,173.541,173.403
25,1707231240.0,173.492,173.458,173.538,173.446
26,1707231300.0,173.458,173.443,173.474,173.36
27,1707231360.0,173.439,173.44,173.468,173.386
28,1707231420.0,173.449,173.35,173.449,173.347
29,1707231480.0,173.35,173.354,173.428,173.341
30,1707231540.0,173.354,173.441,173.459,173.339
31,1707231600.0,173.448,173.443,173.507,173.431
32,1707231660.0,173.439,173.457,173.477,173.351
33,1707231720.0,173.473,173.548,173.548,173.4
34,1707231780.0,173.548,173.652,173.687,173.529
35,1707231840.0,173.652,173.646,173.657,173.565
36,1707231900.0,173.653,173.716,173.761,173.623
37,1707231960.0,173.712,173.756,173.788,173.712
38,1707232020.0,173.772,173.783,173.84,173.752
39,1707232080.0,173.786,173.823,173.837,173.746
40,1707232140.0,173.82,173.797,173.822,173.772
41,1707232200.0,173.792,173.857,173.86,173.762
42,1707232260.0,173.85,173.808,173.882,173.754
43,1707232320.0,173.812,173.794,173.877,173.764
44,1707232380.0,173.788,173.713,173.831,173.698
45,1707232440.0,173.709,173.685,173.755,173.671
46,1707232500.0,173.685,173.624,173.72,173.611
47,1707232560.0,173.618,173.679,173.736,173.616
48,1707232620.0,173.674,173.56,173.677,173.544
49,1707232680.0,173.56,173.63,173.651,173.514
50,1707232740.0,173.63,173.816,173.828,173.63
51,1707232800.0,173.813,173.862,173.901,173.791
52,1707232860.0,173.865,173.836,173.924,173.836
53,1707232920.0,173.836,173.809,173.839,173.742
54,1707232980.0,173.809,173.752,173.809,173.68
55,1707233040.0,173.752,173.614,173.765,173.614
56,1707233100.0,173.618,173.6,173.668,173.569
57,1707233160.0,173.613,173.664,173.693,173.561
58,1707233220.0,173.664,173.635,173.741,173.631
59,1707233280.0,173.646,173.796,173.825,173.62
60,1707233340.0,173.792,173.767,173.839,173.76
61,1707233400.0,173.765,173.794,173.847,173.75
62,1707233460.0,173.781,173.799,173.869,173.767
63,1707233520.0,173.799,173.816,173.825,173.695
64,1707233580.0,173.809,173.768,173.831,173.736
65,1707233640.0,173.775,173.629,173.781,173.606
66,1707233700.0,173.624,173.615,173.667,173.544
67,1707233760.0,173.611,173.579,173.669,173.57
68,1707233820.0,173.583,173.558,173.61,173.522
69,1707233880.0,173.552,173.594,173.614,173.552
70,1707233940.0,173.578,173.46,173.578,173.445
71,1707234000.0,173.467,173.475,173.552,173.442
72,1707234060.0,173.479,173.505,173.52,173.416
73,1707234120.0,173.505,173.604,173.617,173.479
74,1707234180.0,173.604,173.579,173.619,173.502
75,1707234240.0,173.579,173.544,173.601,173.525
76,1707234300.0,173.544,173.473,173.59,173.468
77,1707234360.0,173.494,173.462,173.521,173.434
78,1707234420.0,173.456,173.478,173.511,173.416
79,1707234480.0,173.47,173.422,173.488,173.413
80,1707234540.0,173.422,173.416,173.465,173.365
81,1707234600.0,173.416,173.382,173.418,173.33
82,1707234660.0,173.385,173.558,173.56,173.38
83,1707234720.0,173.564,173.45,173.569,173.403
84,1707234780.0,173.447,173.56,173.564,173.447
85,1707234840.0,173.56,173.404,173.56,173.404
86,1707234900.0,173.404,173.235,173.422,173.211
87,1707234960.0,173.235,173.308,173.313,173.164
88,1707235020.0,173.305,173.459,173.459,173.305
89,1707235080.0,173.471,173.416,173.543,173.364
90,1707235140.0,173.403,173.405,173.42,173.3
91,1707235200.0,173.401,173.459,173.483,173.401
92,1707235260.0,173.449,173.656,173.658,173.449
93,1707235320.0,173.665,173.654,173.668,173.615
94,1707235380.0,173.658,173.65,173.66,173.611
95,1707235440.0,173.655,173.593,173.663,173.562
96,1707235500.0,173.595,173.625,173.625,173.553
97,1707235560.0,173.622,173.685,173.699,173.585
98,1707235620.0,173.685,173.756,173.758,173.676
99,1707235680.0,173.756,173.676,173.792,173.665
100,1707235740.0,173.676,173.675,173.705,173.618
101,1707235800.0,173.671,173.707,173.789,173.647
102,1707235860.0,173.704,173.622,173.724,173.602
103,1707235920.0,173.622,173.492,173.628,173.492
104,1707235980.0,173.492,173.461,173.531,173.43
105,1707236040.0,173.461,173.555,173.601,173.449
106,1707236100.0,173.555,173.535,173.568,173.47
107,1707236160.0,173.55,173.438,173.577,173.431
108,1707236220.0,173.438,173.449,173.533,173.383
109,1707236280.0,173.449,173.385,173.506,173.382
110,1707236340.0,173.385,173.469,173.503,173.364
111,1707236400.0,173.466,173.422,173.484,173.399
112,1707236460.0,173.424,173.545,173.569,173.391
113,1707236520.0,173.541,173.514,173.623,173.51
114,1707236580.0,173.514,173.477,173.562,173.468
115,1707236640.0,173.477,173.594,173.597,173.462
116,1707236700.0,173.592,173.67,173.688,173.592
117,1707236760.0,173.677,173.694,173.714,173.62
118,1707236820.0,173.69,173.608,173.746,173.564
119,1707236880.0,173.628,173.643,173.68,173.607
120,1707236940.0,173.646,173.603,173.659,173.548
121,1707237000.0,173.612,173.439,173.615,173.434
122,1707237060.0,173.458,173.562,173.564,173.447
123,1707237120.0,173.553,173.767,173.77,173.539
124,1707237180.0,173.772,173.732,173.793,173.723
125,1707237240.0,173.737,173.678,173.784,173.649
126,1707237300.0,173.678,173.808,173.808,173.667
127,1707237360.0,173.808,173.794,173.87,173.753
128,1707237420.0,173.794,173.824,173.837,173.728
129,1707237480.0,173.824,173.836,173.929,173.822
130,1707237540.0,173.836,173.889,173.889,173.759
131,1707237600.0,173.883,174.053,174.074,173.883
132,1707237660.0,174.05,173.952,174.072,173.949
133,1707237720.0,173.952,174.076,174.119,173.952
134,1707237780.0,174.076,174.149,174.163,174.053
135,1707237840.0,174.146,174.102,174.171,174.083
136,1707237900.0,174.111,174.006,174.125,173.972
137,1707237960.0,174.006,173.957,174.024,173.898
138,1707238020.0,173.957,173.871,173.957,173.853
139,1707238080.0,173.893,173.959,173.962,173.855
140,1707238140.0,173.954,173.845,173.968,173.836
141,1707238200.0,173.845,173.905,173.914,173.803
142,1707238260.0,173.888,173.759,173.908,173.74
143,1707238320.0,173.751,173.781,173.797,173.717
144,1707238380.0,173.786,173.889,173.934,173.782
145,1707238440.0,173.873,173.964,174.017,173.866
146,1707238500.0,173.967,173.804,173.967,173.786
147,1707238560.0,173.809,173.944,173.946,173.792
148,1707238620.0,173.947,174.069,174.074,173.907
149,1707238680.0,174.073,173.983,174.073,173.93
