,timestamp,open,close,high,low
0,1707126420.0,7.213,7.2138,7.2138,7.213
1,1707126480.0,7.2138,7.2142,7.2146,7.2136
2,1707126540.0,7.2142,7.2146,7.2146,7.2139
3,1707126600.0,7.2146,7.2151,7.2151,7.2142
4,1707126660.0,7.215,7.2148,7.2155,7.2142
5,1707126720.0,7.2148,7.2134,7.2148,7.2134
6,1707126780.0,7.2134,7.2134,7.2139,7.2133
7,1707126840.0,7.2134,7.2133,7.2134,7.2132
8,1707126900.0,7.2133,7.214,7.2141,7.2133
9,1707126960.0,7.2139,7.2141,7.2143,7.2139
10,1707127020.0,7.2141,7.2155,7.2157,7.2137
11,1707127080.0,7.2156,7.2154,7.2158,7.2152
12,1707127140.0,7.2154,7.2155,7.2157,7.215
13,1707127200.0,7.2155,7.2157,7.2158,7.2152
14,1707127260.0,7.2157,7.2159,7.2166,7.2157
15,1707127320.0,7.2159,7.2159,7.2162,7.2156
16,1707127380.0,7.2159,7.2152,7.216,7.2152
17,1707127440.0,7.2152,7.2155,7.2155,7.215
18,1707127500.0,7.2155,7.2153,7.2159,7.2153
19,1707127560.0,7.2153,7.2154,7.2157,7.2152
20,1707127620.0,7.2153,7.2157,7.2159,7.2153
21,1707127680.0,7.2157,7.2162,7.2162,7.2156
22,1707127740.0,7.2162,7.2162,7.2166,7.2161
23,1707127800.0,7.2162,7.2163,7.2165,7.216
24,1707127860.0,7.2163,7.2161,7.2163,7.2159
25,1707127920.0,7.2161,7.2153,7.2162,7.2152
26,1707127980.0,7.2153,7.2152,7.2155,7.2152
27,1707128040.0,7.2152,7.2159,7.216,7.2152
28,1707128100.0,7.2159,7.2166,7.2166,7.2157
29,1707128160.0,7.2166,7.2172,7.2173,7.2165
30,1707128220.0,7.2172,7.218,7.2182,7.2172
31,1707128280.0,7.218,7.2179,7.2183,7.2179
32,1707128340.0,7.2179,7.2183,7.2185,7.2178
33,1707128400.0,7.2184,7.2182,7.2184,7.2178
34,1707128460.0,7.2182,7.218,7.2184,7.2179
35,1707128520.0,7.218,7.2178,7.2183,7.2178
36,1707128580.0,7.2178,7.218,7.2182,7.2175
37,1707128640.0,7.218,7.2187,7.2187,7.2176
38,1707128700.0,7.2187,7.2191,7.2191,7.2181
39,1707128760.0,7.2191,7.2192,7.2192,7.2188
40,1707128820.0,7.2192,7.2181,7.2193,7.2177
41,1707128880.0,7.2181,7.2178,7.2181,7.2175
42,1707128940.0,7.2178,7.218,7.2189,7.2178
