,timestamp,open,high,low,close
0,1706832600.0,142.39131,142.39371,142.39395,142.39046
1,1706832900.0,142.39371,142.39365,142.39505,142.393
2,1706833200.0,142.39362,142.39444,142.39496,142.39258
3,1706833500.0,142.3943,142.3941,142.39749,142.39393
4,1706833800.0,142.39413,142.39459,142.39598,142.39277
5,1706834100.0,142.39459,142.39328,142.39521,142.39186
6,1706834400.0,142.39323,142.39168,142.39348,142.39106
7,1706834700.0,142.39172,142.39124,142.39362,142.39065
8,1706835000.0,142.39124,142.38836,142.39233,142.38788
9,1706835300.0,142.38842,142.38587,142.389,142.3858
10,1706835600.0,142.38587,142.38536,142.38625,142.38426
11,1706835900.0,142.38536,142.38391,142.38744,142.3838
12,1706836200.0,142.38388,142.38566,142.38586,142.38388
13,1706836500.0,142.3857,142.38402,142.3877,142.38314
14,1706836800.0,142.38402,142.38539,142.38674,142.38384
15,1706837100.0,142.38543,142.38861,142.38934,142.38519
16,1706837400.0,142.38861,142.388,142.38921,142.38702
17,1706837700.0,142.388,142.38491,142.38905,142.38491
18,1706838000.0,142.38487,142.3836,142.3857,142.38328
19,1706838300.0,142.38363,142.38062,142.38449,142.38062
20,1706838600.0,142.38062,142.38136,142.38172,142.37983
21,1706838900.0,142.38156,142.3834,142.38397,142.38107
22,1706839200.0,142.38344,142.3853,142.38546,142.38339
23,1706839500.0,142.38537,142.3836,142.3857,142.38248
24,1706839800.0,142.38353,142.38302,142.3837,142.38121
25,1706840100.0,142.38302,142.38238,142.38444,142.38175
26,1706840400.0,142.38255,142.38136,142.38289,142.38088
27,1706840700.0,142.38136,142.37987,142.38146,142.37854
28,1706841000.0,142.37981,142.37676,142.38052,142.37627
29,1706841300.0,142.37673,142.37442,142.37686,142.37217
30,1706841600.0,142.37446,142.37604,142.37674,142.37404
31,1706841900.0,142.37604,142.37492,142.37652,142.37456
32,1706842200.0,142.37488,142.37396,142.37537,142.37299
33,1706842500.0,142.37396,142.37622,142.37698,142.37354
34,1706842800.0,142.3764,142.37986,142.37986,142.37626
35,1706843100.0,142.37986,142.38011,142.38115,142.37905
36,1706843400.0,142.38011,142.38362,142.38362,142.37968
37,1706843700.0,142.38362,142.38743,142.38743,142.38201
38,1706844000.0,142.38738,142.38526,142.38784,142.38522
39,1706844300.0,142.38522,142.38633,142.38725,142.38504
40,1706844600.0,142.38616,142.38462,142.3872,142.38381
41,1706844900.0,142.38462,142.38475,142.38704,142.38379
42,1706845200.0,142.38475,142.38461,142.38524,142.38267
43,1706845500.0,142.38461,142.3851,142.38652,142.38381
44,1706845800.0,142.38505,142.38361,142.38626,142.38334
45,1706846100.0,142.38361,142.38139,142.38421,142.38113
46,1706846400.0,142.38125,142.38064,142.38174,142.37906
47,1706846700.0,142.38064,142.38019,142.3812,142.37846
48,1706847000.0,142.38019,142.37996,142.38024,142.37781
49,1706847300.0,142.38013,142.38096,142.38191,142.37976
50,1706847600.0,142.38096,142.37973,142.38143,142.37926
51,1706847900.0,142.37973,142.38223,142.38289,142.37867
52,1706848200.0,142.38223,142.38067,142.38234,142.37941
53,1706848500.0,142.38067,142.38002,142.38239,142.37938
54,1706848800.0,142.38002,142.37925,142.38017,142.37771
55,1706849100.0,142.37915,142.37871,142.38104,142.37827
56,1706849400.0,142.37871,142.37359,142.37884,142.37315
57,1706849700.0,142.37367,142.37726,142.37757,142.37362
58,1706850000.0,142.37729,142.37267,142.37743,142.37247
59,1706850300.0,142.37263,142.36869,142.37265,142.36859
60,1706850600.0,142.36873,142.36813,142.36913,142.36744
61,1706850900.0,142.3681,142.36858,142.3697,142.36754
62,1706851200.0,142.36858,142.36872,142.37077,142.36856
63,1706851500.0,142.36872,142.36911,142.37073,142.36811
64,1706851800.0,142.36919,142.36713,142.37058,142.36678
65,1706852100.0,142.36708,142.36522,142.3674,142.36484
66,1706852400.0,142.36522,142.36521,142.36606,142.36415
67,1706852700.0,142.36521,142.36668,142.36679,142.36385
68,1706853000.0,142.36668,142.36573,142.36809,142.36565
69,1706853300.0,142.3658,142.36687,142.36703,142.36474
70,1706853600.0,142.36687,142.36723,142.36819,142.36585
71,1706853900.0,142.36723,142.37025,142.37105,142.36718
72,1706854200.0,142.37025,142.37507,142.37571,142.36941
73,1706854500.0,142.37507,142.37741,142.37827,142.37482
74,1706854800.0,142.37734,142.37789,142.37904,142.3771
75,1706855100.0,142.37801,142.37667,142.379,142.37646
76,1706855400.0,142.37667,142.37214,142.3771,142.37205
77,1706855700.0,142.37211,142.36961,142.37266,142.36923
78,1706856000.0,142.36959,142.37068,142.37125,142.36868
79,1706856300.0,142.37065,142.368,142.37141,142.36763
80,1706856600.0,142.36795,142.37353,142.37353,142.36749
81,1706856900.0,142.3736,142.37531,142.37531,142.37185
82,1706857200.0,142.37531,142.37155,142.37569,142.37076
83,1706857500.0,142.37155,142.37427,142.37427,142.37046
84,1706857800.0,142.37424,142.37257,142.37632,142.37255
85,1706858100.0,142.37253,142.37407,142.37458,142.37236
86,1706858400.0,142.37407,142.37696,142.37741,142.37303
87,1706858700.0,142.37704,142.37621,142.37873,142.37601
88,1706859000.0,142.37618,142.38028,142.38065,142.37583
89,1706859300.0,142.38031,142.38137,142.38273,142.3797
90,1706859600.0,142.38137,142.38115,142.38196,142.38013
91,1706859900.0,142.38115,142.38097,142.38234,142.37911
92,1706860200.0,142.38097,142.37795,142.38112,142.37693
93,1706860500.0,142.37795,142.37851,142.38073,142.37775
94,1706860800.0,142.37854,142.3772,142.37927,142.37708
95,1706861100.0,142.37715,142.37787,142.37819,142.37655
96,1706861400.0,142.37793,142.37694,142.37803,142.37457
97,1706861700.0,142.37694,142.37464,142.37736,142.37464
98,1706862000.0,142.37464,142.37061,142.37496,142.37061
99,1706862300.0,142.37065,142.37336,142.37398,142.37025
100,1706862600.0,142.37339,142.37401,142.37498,142.37314
101,1706862900.0,142.37396,142.37336,142.37537,142.37261
102,1706863200.0,142.37336,142.37498,142.37498,142.37237
103,1706863500.0,142.37491,142.37439,142.37648,142.37394
104,1706863800.0,142.37434,142.37584,142.37626,142.37232
105,1706864100.0,142.37584,142.37825,142.37848,142.37577
106,1706864400.0,142.37835,142.38044,142.38065,142.37727
107,1706864700.0,142.38044,142.38097,142.38158,142.37956
108,1706865000.0,142.38095,142.38266,142.38313,142.38011
109,1706865300.0,142.38279,142.38226,142.38324,142.38163
110,1706865600.0,142.38223,142.38123,142.38282,142.38009
111,1706865900.0,142.38118,142.3795,142.38154,142.37941
112,1706866200.0,142.3795,142.38012,142.38161,142.37935
113,1706866500.0,142.38004,142.38248,142.38266,142.37949
114,1706866800.0,142.38248,142.38266,142.38291,142.3805
115,1706867100.0,142.38274,142.38614,142.38614,142.38197
116,1706867400.0,142.38612,142.38725,142.38752,142.38592
117,1706867700.0,142.38725,142.3883,142.38847,142.38546
118,1706868000.0,142.3883,142.38774,142.3883,142.38636
119,1706868300.0,142.38774,142.38814,142.38888,142.38576
120,1706868600.0,142.38805,142.38843,142.38868,142.38636
121,1706868900.0,142.38846,142.38743,142.38991,142.38615
122,1706869200.0,142.38743,142.39042,142.39047,142.3864
123,1706869500.0,142.39038,142.39213,142.39213,142.38986
124,1706869800.0,142.39213,142.39333,142.39381,142.39127
125,1706870100.0,142.3933,142.38703,142.39394,142.38687
126,1706870400.0,142.38703,142.38472,142.3873,142.38451
127,1706870700.0,142.38472,142.38511,142.38623,142.38336
128,1706871000.0,142.38511,142.38557,142.3864,142.38413
129,1706871300.0,142.38561,142.38571,142.38712,142.38495
130,1706871600.0,142.38574,142.38703,142.38707,142.38489
131,1706871900.0,142.3874,142.38801,142.38835,142.38648
132,1706872200.0,142.38796,142.38691,142.38911,142.38673
133,1706872500.0,142.38691,142.38715,142.3883,142.38651
134,1706872800.0,142.38718,142.3893,142.39062,142.38696
135,1706873100.0,142.3893,142.3882,142.39072,142.38814
136,1706873400.0,142.38827,142.39,142.3906,142.38807
137,1706873700.0,142.39,142.38949,142.39147,142.38835
138,1706874000.0,142.38949,142.38708,142.3898,142.38694
139,1706874300.0,142.38708,142.3861,142.38773,142.38563
140,1706874600.0,142.3861,142.38941,142.39035,142.38547
141,1706874900.0,142.38936,142.38856,142.38951,142.38781
142,1706875200.0,142.38849,142.38767,142.3885,142.38689
143,1706875500.0,142.38767,142.38696,142.38892,142.38603
144,1706875800.0,142.38691,142.38074,142.38703,142.38052
145,1706876100.0,142.38074,142.38223,142.38266,142.38074
146,1706876400.0,142.38219,142.38015,142.38219,142.37956
147,1706876700.0,142.38015,142.38036,142.38101,142.37918
148,1706877000.0,142.38023,142.38095,142.38189,142.37903
149,1706877300.0,142.38095,142.38037,142.38152,142.37961
150,1706877600.0,142.38037,142.38025,142.38162,142.37897
151,1706877900.0,142.38025,142.37849,142.38105,142.37833
152,1706878200.0,142.37849,142.37904,142.37931,142.37727
153,1706878500.0,142.37907,142.37629,142.37908,142.3748
154,1706878800.0,142.37629,142.3774,142.37805,142.37562
155,1706879100.0,142.3774,142.37669,142.3785,142.37636
156,1706879400.0,142.37669,142.37726,142.37854,142.37641
157,1706879700.0,142.37721,142.37386,142.37721,142.37318
158,1706880000.0,142.37392,142.37359,142.37459,142.37127
159,1706880300.0,142.37359,142.37441,142.37577,142.37292
160,1706880600.0,142.37441,142.37397,142.37458,142.37303
161,1706880900.0,142.37397,142.37582,142.37669,142.37356
162,1706881200.0,142.37576,142.3746,142.37676,142.37454
163,1706881500.0,142.37455,142.37523,142.37622,142.37356
164,1706881800.0,142.37515,142.37649,142.3767,142.37451
165,1706882100.0,142.37649,142.37584,142.37784,142.37524
166,1706882400.0,142.37584,142.37735,142.37995,142.37569
167,1706882700.0,142.37721,142.3783,142.37856,142.37583
168,1706883000.0,142.3783,142.37587,142.37899,142.37533
169,1706883300.0,142.37592,142.37724,142.37781,142.37564
170,1706883600.0,142.37716,142.37536,142.37835,142.37527
171,1706883900.0,142.37536,142.37474,142.37585,142.37399
172,1706884200.0,142.37472,142.3761,142.37647,142.37409
173,1706884500.0,142.3761,142.37477,142.37692,142.37464
174,1706884800.0,142.37471,142.37432,142.37549,142.37303
175,1706885100.0,142.37432,142.37418,142.37448,142.3725
176,1706885400.0,142.37422,142.37499,142.37624,142.37356
177,1706885700.0,142.37499,142.36973,142.37515,142.36961
178,1706886000.0,142.3698,142.36808,142.3707,142.36803
179,1706886300.0,142.36814,142.37088,142.37183,142.36801
180,1706886600.0,142.37088,142.37027,142.37335,142.36983
181,1706886900.0,142.37027,142.36617,142.37035,142.36446
182,1706887200.0,142.36606,142.36515,142.36656,142.36472
183,1706887500.0,142.36515,142.36679,142.3668,142.36362
184,1706887800.0,142.36684,142.36437,142.36874,142.36434
185,1706888100.0,142.36442,142.36506,142.36654,142.36376
186,1706888400.0,142.36513,142.36805,142.36845,142.365
187,1706888700.0,142.36805,142.3702,142.37096,142.36722
188,1706889000.0,142.37027,142.37206,142.37208,142.36977
189,1706889300.0,142.37206,142.37373,142.37403,142.37081
190,1706889600.0,142.37378,142.37568,142.37661,142.37322
191,1706889900.0,142.37559,142.37726,142.37749,142.37493
192,1706890200.0,142.37726,142.37358,142.37952,142.37358
193,1706890500.0,142.37351,142.37395,142.37477,142.37268
194,1706890800.0,142.37395,142.37386,142.37446,142.37268
195,1706891100.0,142.37381,142.37321,142.37533,142.37249
196,1706891400.0,142.37325,142.37577,142.37586,142.37219
197,1706891700.0,142.37577,142.37452,142.37578,142.37395
198,1706892000.0,142.37452,142.37275,142.37463,142.3709
