,timestamp,open,high,low,close
0,1706829000.0,0.65175,0.65503,0.65531,0.65142
1,1706829300.0,0.65503,0.65871,0.65882,0.65407
2,1706829600.0,0.65871,0.65908,0.66003,0.65787
3,1706829900.0,0.65908,0.65486,0.65908,0.65372
4,1706830200.0,0.6549,0.6571,0.65774,0.65443
5,1706830500.0,0.6571,0.65856,0.65929,0.65675
6,1706830800.0,0.65856,0.66159,0.66194,0.65745
7,1706831100.0,0.66159,0.66244,0.6629,0.66144
8,1706831400.0,0.66244,0.65921,0.6627,0.65921
9,1706831700.0,0.65921,0.66023,0.66066,0.65838
10,1706832000.0,0.66015,0.6626,0.66368,0.6598
11,1706832300.0,0.6626,0.66354,0.66361,0.66238
12,1706832600.0,0.66354,0.66372,0.66586,0.66351
13,1706832900.0,0.66372,0.66171,0.66375,0.66128
14,1706833200.0,0.66171,0.66155,0.66217,0.66011
15,1706833500.0,0.66159,0.66159,0.66407,0.66153
16,1706833800.0,0.6617,0.66216,0.66249,0.66063
17,1706834100.0,0.66216,0.66454,0.66507,0.66194
18,1706834400.0,0.66444,0.66223,0.66474,0.66099
19,1706834700.0,0.66226,0.66325,0.66375,0.66141
20,1706835000.0,0.66325,0.6623,0.66382,0.66144
21,1706835300.0,0.6623,0.6627,0.66329,0.66158
22,1706835600.0,0.6627,0.66164,0.66349,0.66137
23,1706835900.0,0.66164,0.65869,0.66183,0.65834
24,1706836200.0,0.65865,0.65896,0.65945,0.65756
25,1706836500.0,0.65892,0.65946,0.65985,0.6567
26,1706836800.0,0.65946,0.66143,0.66216,0.65945
27,1706837100.0,0.6614,0.66246,0.66285,0.66111
28,1706837400.0,0.66246,0.66399,0.66431,0.66207
29,1706837700.0,0.66399,0.66334,0.66522,0.66334
30,1706838000.0,0.66337,0.661,0.66413,0.66027
31,1706838300.0,0.66106,0.65943,0.66113,0.65859
32,1706838600.0,0.65943,0.6598,0.66018,0.65847
33,1706838900.0,0.65985,0.65743,0.65985,0.65625
34,1706839200.0,0.65743,0.66066,0.661,0.65728
35,1706839500.0,0.66074,0.66144,0.66154,0.65994
36,1706839800.0,0.66147,0.66266,0.66268,0.66106
37,1706840100.0,0.66266,0.66355,0.66356,0.66206
38,1706840400.0,0.66362,0.66701,0.66701,0.66335
39,1706840700.0,0.66701,0.66644,0.66768,0.66563
40,1706841000.0,0.66647,0.66778,0.66855,0.66621
41,1706841300.0,0.66768,0.66539,0.66775,0.66539
42,1706841600.0,0.66539,0.66593,0.66663,0.66356
43,1706841900.0,0.66593,0.6666,0.66712,0.66564
44,1706842200.0,0.66663,0.66777,0.66777,0.66514
45,1706842500.0,0.66782,0.6699,0.67036,0.66782
46,1706842800.0,0.6699,0.66905,0.66998,0.66767
47,1706843100.0,0.66905,0.66731,0.66945,0.66618
48,1706843400.0,0.66731,0.66888,0.6695,0.66704
49,1706843700.0,0.66888,0.66866,0.66915,0.66676
50,1706844000.0,0.66864,0.67219,0.67248,0.66828
51,1706844300.0,0.67222,0.67084,0.67293,0.67063
52,1706844600.0,0.67078,0.66739,0.67239,0.66705
53,1706844900.0,0.66739,0.66685,0.66794,0.66661
54,1706845200.0,0.66685,0.66711,0.66771,0.66595
55,1706845500.0,0.66711,0.66974,0.67013,0.6667
56,1706845800.0,0.66974,0.67211,0.67258,0.66909
57,1706846100.0,0.67211,0.67286,0.67313,0.66968
58,1706846400.0,0.6729,0.67186,0.67404,0.67178
