,timestamp,open,high,low,close
0,1706832600.0,32.8653,32.86503,32.86541,32.86496
1,1706832900.0,32.86503,32.86494,32.86527,32.86475
2,1706833200.0,32.86493,32.86468,32.86501,32.86456
3,1706833500.0,32.86469,32.86444,32.86486,32.86439
4,1706833800.0,32.86446,32.86451,32.86462,32.86417
5,1706834100.0,32.86451,32.86432,32.86452,32.86419
6,1706834400.0,32.86431,32.86415,32.86443,32.8641
7,1706834700.0,32.86416,32.86393,32.86432,32.86383
8,1706835000.0,32.86393,32.86409,32.86413,32.86391
9,1706835300.0,32.8641,32.86421,32.86444,32.86401
10,1706835600.0,32.86421,32.86432,32.86437,32.86404
11,1706835900.0,32.86432,32.86454,32.86458,32.86411
12,1706836200.0,32.86453,32.86528,32.86532,32.86449
13,1706836500.0,32.86528,32.86547,32.86561,32.86522
14,1706836800.0,32.86547,32.86586,32.86586,32.86544
15,1706837100.0,32.86585,32.86592,32.86603,32.86571
16,1706837400.0,32.86592,32.86633,32.8665,32.86577
17,1706837700.0,32.86633,32.86636,32.86648,32.86615
18,1706838000.0,32.86637,32.86662,32.86682,32.86633
19,1706838300.0,32.86663,32.8671,32.86737,32.86657
20,1706838600.0,32.8671,32.86709,32.86726,32.86689
21,1706838900.0,32.86708,32.86729,32.86739,32.86702
22,1706839200.0,32.8673,32.86706,32.86746,32.867
23,1706839500.0,32.86705,32.86762,32.86762,32.86705
24,1706839800.0,32.86763,32.86799,32.86802,32.86751
25,1706840100.0,32.86799,32.8678,32.86806,32.86764
26,1706840400.0,32.86781,32.86772,32.86799,32.86767
27,1706840700.0,32.86772,32.86819,32.86819,32.86749
28,1706841000.0,32.86819,32.86806,32.8683,32.868
29,1706841300.0,32.86806,32.86792,32.86817,32.86774
30,1706841600.0,32.86792,32.86787,32.86819,32.86785
31,1706841900.0,32.86787,32.86836,32.86839,32.86787
32,1706842200.0,32.86835,32.86818,32.86836,32.86807
33,1706842500.0,32.86817,32.86871,32.86872,32.86812
34,1706842800.0,32.8687,32.86847,32.86894,32.86847
35,1706843100.0,32.86847,32.86834,32.86859,32.86828
36,1706843400.0,32.86834,32.86809,32.8684,32.86796
37,1706843700.0,32.86809,32.86841,32.86841,32.868
38,1706844000.0,32.8684,32.86817,32.86858,32.86794
39,1706844300.0,32.86818,32.86853,32.86861,32.86817
40,1706844600.0,32.86852,32.86855,32.86879,32.86832
41,1706844900.0,32.86855,32.86812,32.86858,32.86812
42,1706845200.0,32.86812,32.86759,32.86816,32.86752
43,1706845500.0,32.86759,32.86812,32.86825,32.86755
44,1706845800.0,32.86813,32.86811,32.8683,32.86796
45,1706846100.0,32.86811,32.86822,32.86822,32.86789
46,1706846400.0,32.86821,32.86769,32.86828,32.86768
47,1706846700.0,32.86769,32.86822,32.86827,32.86761
48,1706847000.0,32.86821,32.86815,32.86856,32.86796
49,1706847300.0,32.86816,32.86738,32.86827,32.86729
50,1706847600.0,32.86737,32.86752,32.86774,32.86736
51,1706847900.0,32.86752,32.86746,32.86765,32.86718
52,1706848200.0,32.86746,32.86752,32.86753,32.86714
53,1706848500.0,32.86752,32.86792,32.86805,32.86729
54,1706848800.0,32.86793,32.86821,32.86829,32.86792
55,1706849100.0,32.86818,32.86801,32.86828,32.86795
56,1706849400.0,32.86801,32.86845,32.86859,32.86788
57,1706849700.0,32.86846,32.86864,32.86869,32.86834
58,1706850000.0,32.86863,32.86892,32.86901,32.8684
59,1706850300.0,32.86893,32.86919,32.86919,32.86871
60,1706850600.0,32.8692,32.86919,32.86959,32.86919
61,1706850900.0,32.86919,32.86896,32.86929,32.86887
62,1706851200.0,32.86896,32.86914,32.86927,32.86886
